pagina,estrato,classe_predita,qualidade_predita,n_palavras_pagina,trecho_inicio,trecho_meio,trecho_fim,estrato_correto,classe_correta,erro_extracao,decisao_metodologica
236,inicio_capitulo,inicio_capitulo,boa,226,"Chapter 6 THE CREATION OF ORDER OUT OF DISORDER In examining the construction of facts in a laboratory, we have presented the general organisation of the setting as constituted by someone unfamiliar with science (Chapter 2); we showed how the history of some of the laboratory's a...","ed, looking especially at the paradox of the term fact (Chapter 4); we then turned to the individuals in the laboratory in an attempt to make sense both of their careers and the solidity of their production (Chapter 5 ). In each of these chapters we defined terms which were often...","eceding chapters in an attempt more systematically to link the different concepts used. At the same time, we shall review some of the methodological problems encountered so far. It will not have escaped the reader's notice, for example, that a major problem arises from our conten...",sim,sim,,cabeçalho de capítulo encontrado nas primeiras 5 linhas
16,inicio_capitulo,inicio_capitulo,boa,290,Chapter 1 FROM ORDER TO DISORDER 5 mins. John enters and goes into his office. He says something very quickly about having made a bad mistake. He had sent the review of a paper. . . . The rest of the sentence is inaudible. 5 mins. 30 secs. Barbara enters. She asks Spencer what ki...,"rently writing at his desk, answers from his office. Jane leaves. 6 mins. 15 secs. Wilson enters and looks into a number of offices, trying to gather people together for a staff meeting. He receives vague promises. ""It's a question of four thousand bucks which has to be resolved ...","abel. He leaves the room. Long silence. The library is empty. Some write in their offices, some work by windows in the brighly lit bench space. The staccato noise of typewriting can be heard from the lobby. 9 mins. Julius comes in eating an apple and perusing a copy of Nature. 9 ...",sim,sim,,cabeçalho de capítulo encontrado nas primeiras 5 linhas
244,inicio_capitulo,inicio_capitulo,boa,446,"The Creation of Order Out of Disorder 243 in other laboratories. This is the nature of the market defined in Chapter 5. No matter whether this taken-for-granted peptidic structure takes the form of a nonproblematic argument or of a white powder sample, the only important question...","hat it was more difficult for Watson to doubt it or simply to object that the keto form was equally probable. The cost-benefit analysis will vary according to the prevailing circumstances, so no general rules can be established. The style of an article can make it more difficult ...","and the set of productive forces, which makes construction possible. Every time a statement stabilises, it is reintroduced into the laboratory (in the guise of a machine, inscription device, skill, routine, prejudice, deduction, programme, and so on), and it is used to increase t...",sim,sim,,cabeçalho de capítulo encontrado nas primeiras 5 linhas
248,corpo,corpo,boa,450,"The Creation of Order Out of Disorder 247 curves. One particular curve is selected, cleaned up, put on a slide and shown around in conjunction with the statement: ""Stress simultaneously releases ACTH and Beta Endorphine."" This statement stands out of and for the mass of figures. ...","haotic: statements have to be pushed, forced into the light, defended against attack, oblivion, and neglect. Very few statements are seized upon by everyone in the field because their use entails an enormous economy in the manipulation of data or statements (Brillouin, 1962: Ch. ...","ther than disorder. This basic philosophical assumption has recently been challenged, and our intention in the next part of this chapter is to show what light is shed on laboratory activity if such an assumption is modified. To do this in full would entail going beyond the usual ...",sim,sim,,prosa contínua (450 palavras)
111,corpo,corpo,boa,450,"110 LABORATORY LIFE of one or two of a certain set of eight papers. Within this network, then, TRH is accepted as a fact in the sense that it is sufficient to know that ""TRH regulates the release by the pituitary of TSH,"" that ""its chemical formula is Pyro-Glu-His-Pro-NH 2 "" and ...","ource of noise, for the researcher. For a still smaller group, comprising a few score individuals and half a dozen laboratories, TRH is not merely a tool. For them, TRH represents and entire subfield. Indeed, for a few of the individuals in our study, it represented a lifetime's ...","nt as a nonproblematic substance is confined to a few hundred new investigators. Outside these networks TRH simply does not exist(see Chapter 4). In the hands of outsiders and once devoid of its label, TRH would be merely thought of as ""some kind of white powder."" It would only b...",sim,sim,,prosa contínua (450 palavras)
85,corpo,corpo,boa,433,"84 LABORATORY LIFE external object or objective condition of which the statements were taken to be indicators. Sources of ""subjectivity"" thus disappeared in the face of more than one statement, and the initial statement could be taken at face value and without qualification (cf.,...","atus of the statement. In the laboratory, ""objects"" were accomplished by the superimposition of several documents obtained from inscription devices within the laboratory or from papers by investigators outside the laboratory (cf., Chapter 4). No statement could be made except on ...","us, although the author had presented his statement as a type 2 or 3, the referee recast it in terms of type 1. Consider also the following: ""The authors used a Polytron which is a much more vigorous means of tissue disruption. To my knowledge, there are no reports in the literat...",sim,sim,,prosa contínua (433 palavras)
102,notas_fim,notas_fim,boa,4,Image Not Available 1O1,Image Not Available 1O1,Image Not Available 1O1,parcial,parcial,,[INFERÊNCIA] página esparsa (4 palavras): possivelmente photograph file ou similar
96,notas_fim,notas_fim,boa,4,Image Not Available 95,Image Not Available 95,Image Not Available 95,parcial,parcial,,[INFERÊNCIA] página esparsa (4 palavras): possivelmente photograph file ou similar
94,notas_fim,notas_fim,boa,4,Image Not Available 93,Image Not Available 93,Image Not Available 93,parcial,parcial,,[INFERÊNCIA] página esparsa (4 palavras): possivelmente photograph file ou similar
293,paratexto,paratexto,boa,429,"292 LABORATORY L FE Demand, for credible information, 201-208 Historicity, 239 Derrida, J., 88, 261 History of science, 106-107 Description, constraints on the, 38, 44, 254 Hoagland, J , 230 n 5 Dietrich (pseudonym) his career, 194-198 Horton, R., 42 Discovery, 129, 173, 185 Hoyl...","and artefact, Jutisz, P , 129 174 ff Falsification, 156 Kant, E , 175 Fetishism 259 n 10 Kawabata, Y , 247 Feyerabend, K., 251 Knorr, K., 54, 150, 152, 173, 175, 184, Fiction, 257, 261 230, 232, 236, 239, 251 Field (informant), 212 ff , 232 Kuhn, T , 24 Flower, 154 Folkers, K., 1...","man, T , 175 Habermas, J., 239 Lyotard, J. F., 150, 237 Hagstrom, W O , 52, 203 ff Hard and soft, as a consequence of instru- Machlup, F , 258 ments, 66 ff ; Harder and softer, 142, Marx, K , 179, 231, 259 their difference, 257 Mass spectrometer, 150; its role, 242, 259 Harris, G...",sim,sim,,32 linha(s) com padrão de TOC
