obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0000,1,scale,back. In the social domain there is no change of,scale,is so to speak always flat and folded and this,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0001,1,flat,is no change of scale.It is so to speak always,flat,and folded and this is especiallytrue of the natural sciencesthat,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0002,1,folded,change of scale.It is so to speak always flat and,folded,and this is especiallytrue of the natural sciencesthat are said,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0003,1,flow,environment in which society is sup posedto be located.Contexts too,flow,"locally through networks, be these geography,medicine, statistics,economics,or even sociology. This",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0004,1,topology,possible:economiesemergeout of economics;societiesout of soci ologies;cultures out of anthropologies;etc. The,topology,"of the social, John Law is right, is rather bizarre,",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0005,1,locus,"rather bizarre, but I don't think it is fractal. Each",locus,can be seenas framing and summing up. Actor' is not,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0006,1,fluid,dimensionsand touchstones.John Law and Annemarie Mol have used the word,fluid,"(Mol and Law 1994),Adrian Cussins,the word trails (Cussins, 1992),Charis Cussins,the",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0007,1,circulations,networkshas rendered irretrievable:it is a theory that saysthat by following,circulations,"we can get more than by defining entities,essenceor provinces.In that",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0008,1,fluids,theory of nature. It is a theory of the spaceor,fluids,circulating in a non-modern situation. What type of connection can,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0009,1,circulating,of nature. It is a theory of the spaceor fluids,circulating,in a non-modern situation. What type of connection can be,,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0010,1,connection,spaceor fluids circulating in a non-modern situation. What type of,connection,"can be established betweenthose terms, other than the systematicmodernist solution?",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0011,1,circulate,Let us not forget that the first thing we made,circulate,"is nature and reference,that is the 'out there' box. I",,,
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0012,1,circulation,Wars. Clearly the treatment of the collectiveof scientificreality as a,circulation,"of transformations-is it even necessaryto say again that referenceis real,",,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0000,1,network,"a field of forces where morality' humanity, psychologywas absent.Thus, the",network,was split into two: demiurgy on one side; 'death of,,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0001,1,network,symmetrical critiques are off target even though the very expressionof,network,invites this reaction.The original idea was not to occupy a,,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0002,1,network,"refocus the argument. Let us abandon the words ,actor' and",network,"for a moment and pay someattention to lwo operations, oneof",,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0003,1,networks,society is sup posedto be located.Contexts too flow locally through,networks,"be these geography,medicine, statistics,economics,or even sociology. This is where ANT",,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0004,1,network,Actor' is not here to play the role of agencyand,network,to play the role of society.Actor and network-if we want,,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0005,1,network,of agencyand 'network' to play the role of society.Actor and,network,we want to still usethose terms O The Editorial Board,,,
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0006,1,network,"coffin-thus abandoningwhat is so wrong with ANT, that is 'actor',",network,"'theory' without forgettingthe hyphenl-some other creaturemight emerse,light and beautiful:our future",,,
latour_1999_recalling_en,actor_network,exaustiva,latour_1999_recalling_en#actor_network#0000,1,actor-network,"a field of forces where morality' humanity, psychologywas absent.Thus, the",actor-network,was split into two: demiurgy on one side; 'death of,,,
latour_1999_recalling_en,actor_network,exaustiva,latour_1999_recalling_en#actor_network#0001,1,actor-network,symmetrical critiques are off target even though the very expressionof,actor-network,invites this reaction.The original idea was not to occupy a,,,
